line_id,timestamp,level
1,2025-02-01 00:00:00,89.18
2,2025-02-01 00:00:00,78.25
3,2025-02-01 00:00:00,92.09
4,2025-02-01 00:00:00,96.77
5,2025-02-01 00:00:00,82.66
6,2025-02-01 00:00:00,76.56
7,2025-02-01 00:00:00,70.8
8,2025-02-01 00:00:00,89.5
9,2025-02-01 00:00:00,76.61
10,2025-02-01 00:00:00,94.28
11,2025-02-01 00:00:00,94.17
12,2025-02-01 00:00:00,80.21
13,2025-02-01 00:00:00,98.72
14,2025-02-01 00:00:00,72.78
15,2025-02-01 00:00:00,95.42
16,2025-02-01 00:00:00,94.21
17,2025-02-01 00:00:00,86.09
18,2025-02-01 00:00:00,81.36
19,2025-02-01 00:00:00,94.88
20,2025-02-01 00:00:00,95.85
1,2025-02-01 00:15:00,89.22
2,2025-02-01 00:15:00,78.34
3,2025-02-01 00:15:00,92.19
4,2025-02-01 00:15:00,96.79
5,2025-02-01 00:15:00,82.63
6,2025-02-01 00:15:00,76.62
7,2025-02-01 00:15:00,70.89
8,2025-02-01 00:15:00,89.41
9,2025-02-01 00:15:00,76.63
10,2025-02-01 00:15:00,94.2
11,2025-02-01 00:15:00,94.19
12,2025-02-01 00:15:00,80.14
13,2025-02-01 00:15:00,98.78
14,2025-02-01 00:15:00,72.84
15,2025-02-01 00:15:00,95.41
16,2025-02-01 00:15:00,94.3
17,2025-02-01 00:15:00,86.12
18,2025-02-01 00:15:00,81.31
19,2025-02-01 00:15:00,94.86
20,2025-02-01 00:15:00,95.91
1,2025-02-01 00:30:00,89.13
2,2025-02-01 00:30:00,78.35
3,2025-02-01 00:30:00,92.22
4,2025-02-01 00:30:00,96.69
5,2025-02-01 00:30:00,82.68
6,2025-02-01 00:30:00,76.71
7,2025-02-01 00:30:00,70.87
8,2025-02-01 00:30:00,89.34
9,2025-02-01 00:30:00,76.71
10,2025-02-01 00:30:00,94.14
11,2025-02-01 00:30:00,94.24
12,2025-02-01 00:30:00,80.11
13,2025-02-01 00:30:00,98.78
14,2025-02-01 00:30:00,72.75
15,2025-02-01 00:30:00,95.41
16,2025-02-01 00:30:00,94.38
17,2025-02-01 00:30:00,86.17
18,2025-02-01 00:30:00,81.34
19,2025-02-01 00:30:00,94.89
20,2025-02-01 00:30:00,95.98
1,2025-02-01 00:45:00,89.08
2,2025-02-01 00:45:00,78.4
3,2025-02-01 00:45:00,92.2
4,2025-02-01 00:45:00,96.77
5,2025-02-01 00:45:00,82.77
6,2025-02-01 00:45:00,76.62
7,2025-02-01 00:45:00,70.82
8,2025-02-01 00:45:00,89.44
9,2025-02-01 00:45:00,76.69
10,2025-02-01 00:45:00,94.05
11,2025-02-01 00:45:00,94.18
12,2025-02-01 00:45:00,80.06
13,2025-02-01 00:45:00,98.72
14,2025-02-01 00:45:00,72.68
15,2025-02-01 00:45:00,95.48
16,2025-02-01 00:45:00,94.43
17,2025-02-01 00:45:00,86.19
18,2025-02-01 00:45:00,81.29
19,2025-02-01 00:45:00,94.88
20,2025-02-01 00:45:00,95.9
1,2025-02-01 01:00:00,89.04
2,2025-02-01 01:00:00,78.45
3,2025-02-01 01:00:00,92.11
4,2025-02-01 01:00:00,96.71
5,2025-02-01 01:00:00,82.68
6,2025-02-01 01:00:00,76.65
7,2025-02-01 01:00:00,70.84
8,2025-02-01 01:00:00,89.52
9,2025-02-01 01:00:00,76.69
10,2025-02-01 01:00:00,94.07
11,2025-02-01 01:00:00,94.22
12,2025-02-01 01:00:00,80.04
13,2025-02-01 01:00:00,98.65
14,2025-02-01 01:00:00,72.71
15,2025-02-01 01:00:00,95.49
16,2025-02-01 01:00:00,94.35
17,2025-02-01 01:00:00,86.26
18,2025-02-01 01:00:00,81.39
19,2025-02-01 01:00:00,94.87
20,2025-02-01 01:00:00,95.92
1,2025-02-01 01:15:00,88.96
2,2025-02-01 01:15:00,78.54
3,2025-02-01 01:15:00,92.06
4,2025-02-01 01:15:00,96.75
5,2025-02-01 01:15:00,82.72
6,2025-02-01 01:15:00,76.73
7,2025-02-01 01:15:00,70.86
8,2025-02-01 01:15:00,89.48
9,2025-02-01 01:15:00,76.76
10,2025-02-01 01:15:00,94.06
11,2025-02-01 01:15:00,94.2
12,2025-02-01 01:15:00,79.99
13,2025-02-01 01:15:00,98.65
14,2025-02-01 01:15:00,72.65
15,2025-02-01 01:15:00,95.41
16,2025-02-01 01:15:00,94.44
17,2025-02-01 01:15:00,86.35
18,2025-02-01 01:15:00,81.46
19,2025-02-01 01:15:00,94.97
20,2025-02-01 01:15:00,95.82
1,2025-02-01 01:30:00,88.91
2,2025-02-01 01:30:00,78.53
3,2025-02-01 01:30:00,92.06
4,2025-02-01 01:30:00,96.83
5,2025-02-01 01:30:00,82.71
6,2025-02-01 01:30:00,76.65
7,2025-02-01 01:30:00,70.78
8,2025-02-01 01:30:00,89.53
9,2025-02-01 01:30:00,76.85
10,2025-02-01 01:30:00,93.97
11,2025-02-01 01:30:00,94.26
12,2025-02-01 01:30:00,79.92
13,2025-02-01 01:30:00,98.66
14,2025-02-01 01:30:00,72.66
15,2025-02-01 01:30:00,95.4
16,2025-02-01 01:30:00,94.49
17,2025-02-01 01:30:00,86.27
18,2025-02-01 01:30:00,81.43
19,2025-02-01 01:30:00,94.95
20,2025-02-01 01:30:00,95.89
1,2025-02-01 01:45:00,88.83
2,2025-02-01 01:45:00,78.52
3,2025-02-01 01:45:00,92.1
4,2025-02-01 01:45:00,96.73
5,2025-02-01 01:45:00,82.67
6,2025-02-01 01:45:00,76.62
7,2025-02-01 01:45:00,70.78
8,2025-02-01 01:45:00,89.46
9,2025-02-01 01:45:00,76.93
10,2025-02-01 01:45:00,93.9
11,2025-02-01 01:45:00,94.2
12,2025-02-01 01:45:00,79.96
13,2025-02-01 01:45:00,98.7
14,2025-02-01 01:45:00,72.66
15,2025-02-01 01:45:00,95.34
16,2025-02-01 01:45:00,94.46
17,2025-02-01 01:45:00,86.36
18,2025-02-01 01:45:00,81.33
19,2025-02-01 01:45:00,94.95
20,2025-02-01 01:45:00,95.99
1,2025-02-01 02:00:00,88.79
2,2025-02-01 02:00:00,78.54
3,2025-02-01 02:00:00,92.19
4,2025-02-01 02:00:00,96.68
5,2025-02-01 02:00:00,82.64
6,2025-02-01 02:00:00,76.62
7,2025-02-01 02:00:00,70.72
8,2025-02-01 02:00:00,89.4
9,2025-02-01 02:00:00,77.02
10,2025-02-01 02:00:00,93.82
11,2025-02-01 02:00:00,94.15
12,2025-02-01 02:00:00,80.0
13,2025-02-01 02:00:00,98.61
14,2025-02-01 02:00:00,72.69
15,2025-02-01 02:00:00,95.28
16,2025-02-01 02:00:00,94.4
17,2025-02-01 02:00:00,86.37
18,2025-02-01 02:00:00,81.35
19,2025-02-01 02:00:00,94.88
20,2025-02-01 02:00:00,96.02
1,2025-02-01 02:15:00,88.82
2,2025-02-01 02:15:00,78.45
3,2025-02-01 02:15:00,92.22
4,2025-02-01 02:15:00,96.74
5,2025-02-01 02:15:00,82.67
6,2025-02-01 02:15:00,76.64
7,2025-02-01 02:15:00,70.73
8,2025-02-01 02:15:00,89.45
9,2025-02-01 02:15:00,77.03
